order_id,order_date,delivery_date,promised_delivery_date,shipping_cost,delivery_status,region,order_value,delay_days,route_id,supplier_id,carrier_id,delay_days_calc,is_late,high_value,delivery_time,cost_per_day,origin,destination,distance,avg_delivery_time,cost_per_unit,lead_time,defect_rate,cost_per_km,on_time_rate
1,2024-01-27,2024-02-01,2024-02-03,1771.53,Delivered,West,7425.1,-2.0,2.0,9.0,1.0,-2.0,False,True,5.0,354.306,Mumbai,Hyderabad,758.5,13.9,104.92,,0.05,,0.96
2,2024-03-24,2024-03-30,2024-03-27,786.73,Delayed,North,3310.21,3.0,1.0,8.0,1.0,3.0,True,False,6.0,131.12166666666667,Pune,Jaipur,949.0,23.4,357.9,10.0,0.044,,0.96
3,2024-08-08,2024-08-19,2024-08-18,644.44,Delayed,North,2025.17,,17.0,4.0,9.0,1.0,True,False,11.0,58.58545454545455,Bangalore,Ahmedabad,496.2,11.2,323.4,10.0,0.017,16.58,0.76
4,2024-11-26,2024-12-10,2024-12-05,1423.16,Delayed,North,5314.42,5.0,16.0,7.0,1.0,5.0,True,False,14.0,101.65428571428572,Bangalore,Lucknow,631.3,12.0,187.08,7.0,0.01,,0.96
5,2024-12-02,2024-12-08,2024-12-09,1826.73,Delivered,West,,-1.0,15.0,13.0,4.0,-1.0,False,False,6.0,304.455,Delhi,,282.5,6.3,296.02,10.0,0.018,10.83,0.78
6,2024-06-29,2024-07-08,2024-07-05,1115.46,Delayed,South,3750.17,3.0,10.0,13.0,4.0,3.0,True,False,9.0,123.94,Bangalore,,962.8,20.5,296.02,10.0,0.018,10.83,0.78
7,2024-08-15,2024-08-28,2024-08-24,,Delayed,Central,4059.75,4.0,9.0,11.0,7.0,4.0,True,False,13.0,,,Ahmedabad,659.2,15.7,166.45,,0.066,,0.92
8,2024-06-30,2024-07-02,2024-07-04,1743.59,Delivered,Central,5259.02,,3.0,11.0,6.0,-2.0,False,False,2.0,871.795,Kolkata,Jaipur,,19.2,166.45,,0.066,9.21,0.85
9,2024-06-27,2024-06-29,2024-06-30,1254.24,Delivered,West,5761.45,-1.0,5.0,4.0,1.0,-1.0,False,False,2.0,627.12,Kolkata,Hyderabad,729.8,13.4,323.4,10.0,0.017,,0.96
10,2024-12-01,2024-12-11,2024-12-08,1041.08,Delayed,North,2904.31,3.0,4.0,13.0,7.0,3.0,True,False,10.0,104.10799999999999,Delhi,Hyderabad,1256.9,28.1,296.02,10.0,0.018,,0.92
