route_id,origin,destination,distance,avg_delivery_time
1,Pune,Jaipur,949.0,23.4
2,Mumbai,Hyderabad,758.5,13.9
3,Kolkata,Jaipur,,19.2
4,Delhi,Hyderabad,1256.9,28.1
5,Kolkata,Hyderabad,729.8,13.4
6,Chennai,Hyderabad,729.8,14.9
7,,Jaipur,1273.8,23.1
8,Chennai,Ahmedabad,1030.2,22.6
9,,Ahmedabad,659.2,15.7
10,Bangalore,,962.8,20.5
11,Delhi,Indore,661.0,13.4
12,Chennai,Jaipur,660.3,12.9
13,Kolkata,,872.6,18.5
14,Delhi,Jaipur,226.0,4.2
15,Delhi,,282.5,6.3
16,Bangalore,Lucknow,631.3,12.0
17,Bangalore,Ahmedabad,496.2,11.2
18,Pune,Indore,894.3,21.6
19,Kolkata,Indore,527.6,11.8
20,Bangalore,Indore,376.3,7.0
