order_id,order_date,delivery_date,promised_delivery_date,shipping_cost,delivery_status,region,order_value,delay_days,route_id,supplier_id,carrier_id,delay_days_calc,is_late,high_value,delivery_time,cost_per_day,origin,destination,distance,avg_delivery_time,cost_per_unit,lead_time,defect_rate,cost_per_km,on_time_rate
1,2024-01-27,2024-02-01,2024-02-03,1771.53,Delivered,West,7425.1,-2.0,2,9,1,-2,False,True,5,354.306,Mumbai,Hyderabad,758.5,13.9,104.92,,0.05,,0.96
2,2024-03-24,2024-03-30,2024-03-27,786.73,Delayed,North,3310.21,3.0,1,8,1,3,True,False,6,131.12166666666667,Pune,Jaipur,949,23.4,357.9,10.0,0.044,,0.96
3,2024-08-08,2024-08-19,2024-08-18,644.44,Delayed,North,2025.17,,17,4,9,1,True,False,11,58.58545454545455,Bangalore,Ahmedabad,496.2,11.2,323.4,10.0,0.017,16.58,0.76
4,2024-11-26,2024-12-10,2024-12-05,1423.16,Delayed,North,5314.42,5.0,16,7,1,5,True,False,14,101.65428571428572,Bangalore,Lucknow,631.3,12,187.08,7.0,0.01,,0.96
5,2024-12-02,2024-12-08,2024-12-09,1826.73,Delivered,West,,-1.0,15,13,4,-1,False,False,6,304.455,Delhi,,282.5,6.3,296.02,10.0,0.018,10.83,0.78
6,2024-06-29,2024-07-08,2024-07-05,1115.46,Delayed,South,3750.17,3.0,10,13,4,3,True,False,9,123.94,Bangalore,,962.8,20.5,296.02,10.0,0.018,10.83,0.78
9,2024-06-27,2024-06-29,2024-06-30,1254.24,Delivered,West,5761.45,-1.0,5,4,1,-1,False,False,2,627.12,Kolkata,Hyderabad,729.8,13.4,323.4,10.0,0.017,,0.96
10,2024-12-01,2024-12-11,2024-12-08,1041.08,Delayed,North,2904.31,3.0,4,13,7,3,True,False,10,104.10799999999999,Delhi,Hyderabad,1256.9,28.1,296.02,10.0,0.018,,0.92
11,2024-12-30,2025-01-10,2025-01-09,923.63,Delayed,West,2772.3,1.0,11,9,6,1,True,False,11,83.96636363636364,Delhi,Indore,661,13.4,104.92,,0.05,9.21,0.85
12,2024-10-18,2024-10-24,2024-10-26,1849.72,Delivered,North,4533.9,-2.0,11,1,2,-2,False,False,6,308.2866666666667,Delhi,Indore,661,13.4,255.23,7.0,0.079,,0.75
13,2024-10-16,2024-10-20,2024-10-22,1152.57,Delivered,East,4149.66,,5,13,3,-2,False,False,4,288.1425,Kolkata,Hyderabad,729.8,13.4,296.02,10.0,0.018,5.68,0.79
14,2024-05-11,2024-05-23,2024-05-21,243.23,Delayed,Central,701.8,2.0,5,1,10,2,True,False,12,20.269166666666667,Kolkata,Hyderabad,729.8,13.4,255.23,7.0,0.079,5.08,0.93
15,2024-01-27,2024-02-08,2024-02-04,1055.31,Delayed,North,2919.46,4.0,12,8,4,4,True,False,12,87.9425,Chennai,Jaipur,660.3,12.9,357.9,10.0,0.044,10.83,0.78
